idpedido,itemprecovenda,pedidohorario,calendarkey,itemkey,filialkey,clientekey
30,12,10:54:47,196f2825-1604-42e1-85ac-75926b28ccf1,741a3a6b-8f1f-4c32-821f-901fc675469a,33b099f8-0402-48ef-9037-a60aa4bce846,7a2bb121-2d43-48b7-be76-00e6450a35db
90,38,12:52:23,af681eab-1a52-4f09-942b-150072af52bd,f87090ae-69fb-4f69-9f4e-c87abcc3d27b,33b099f8-0402-48ef-9037-a60aa4bce846,4c86502a-e03d-4a73-93f9-28f6ba759dfe
107,53,15:26:10,dfb970ff-2666-416f-90f4-7a5ccca98c1e,cba43d3d-f644-43d5-8aeb-51cace6e1ab2,ba6177ca-9625-484c-80f5-07af9d11cc52,6df16d2f-9e2d-47a8-82b2-6dff6d57477e
26,12,15:06:51,5e9512d7-a5ff-4a1e-92d1-8e92572242e2,741a3a6b-8f1f-4c32-821f-901fc675469a,7223e7d4-cda4-4afc-8362-8144ed32ee3c,bed3225d-29d9-4a05-9ba0-9d5567de74fc
86,7,10:32:18,14c6a2bc-29a7-42f0-ba68-0d3a0b20a78e,1a0dcfa1-76b8-448f-a2f6-ed03296fd3a1,ba6177ca-9625-484c-80f5-07af9d11cc52,54260baa-8245-4d3b-b1e6-3e82e9fd2235
54,12,14:06:07,09703943-1023-410e-82c1-5a237e022760,fa829ea9-4530-4078-bf1f-5952e7fde22e,7223e7d4-cda4-4afc-8362-8144ed32ee3c,c7f44d30-33d3-4c39-8f8d-61fd3d4978e2
78,72,12:46:43,0a44298f-9bb5-4a2c-a3a5-168ce35a10b7,1d2cf1f0-7b62-46f4-b098-b9c43b7a68ff,ba6177ca-9625-484c-80f5-07af9d11cc52,9f22e019-0669-46f2-bc2d-780789d18165
23,41,13:52:47,0453092d-9249-43aa-aa5b-1164b794a5c5,c6e8ec1d-764a-424f-9ebc-dd9d2fa2c85a,3027aaeb-1dfd-4cfa-95fa-c880679ed33d,af42f754-7b9a-404d-be9e-aec20ff43f75
118,54,11:51:14,f19a6288-ae4f-47e4-818d-37bd83a41e0f,6fdc24cf-adbc-4666-a5ef-f4eadab29b75,33b099f8-0402-48ef-9037-a60aa4bce846,0d31eac5-8956-40a8-85ba-57fcf95a7537
3,53,12:18:14,1195bd14-e901-4100-b209-a5f406ce21fc,cba43d3d-f644-43d5-8aeb-51cace6e1ab2,7223e7d4-cda4-4afc-8362-8144ed32ee3c,ab135e86-b83d-4dda-a54b-be2e164ddc68
66,27,12:17:13,b6aae40a-4c9d-44c1-93e0-0b37801d395c,6d4c02cf-c00f-4636-8dee-2b96101bbaf8,33b099f8-0402-48ef-9037-a60aa4bce846,4c86502a-e03d-4a73-93f9-28f6ba759dfe
100,41,14:20:59,eb57d156-f76f-4a00-b3b5-8d7e3c38ff79,c6e8ec1d-764a-424f-9ebc-dd9d2fa2c85a,ba6177ca-9625-484c-80f5-07af9d11cc52,4fcf0474-7fdb-42ea-9765-9ba62b6efa08
10,38,10:41:31,0a187124-e397-41fc-8367-11bd66771d0a,f87090ae-69fb-4f69-9f4e-c87abcc3d27b,ba6177ca-9625-484c-80f5-07af9d11cc52,0d31eac5-8956-40a8-85ba-57fcf95a7537
117,73,13:21:40,e3344904-50db-471c-b279-e87ed4aee7c0,210bfde6-efc8-428c-b40c-2db91338998c,3027aaeb-1dfd-4cfa-95fa-c880679ed33d,bed3225d-29d9-4a05-9ba0-9d5567de74fc
74,47,13:21:51,5107a419-52b5-4966-822c-44024185830f,8cdb6c46-8740-431e-a874-379fa4fdcc26,3027aaeb-1dfd-4cfa-95fa-c880679ed33d,04262ea4-8085-4662-bc23-ab0b6177c969
31,13,12:10:19,dfb970ff-2666-416f-90f4-7a5ccca98c1e,93ef4b54-9469-40ca-98df-42ab3ea020b1,3027aaeb-1dfd-4cfa-95fa-c880679ed33d,0cb5e2fb-1619-4ae9-b6da-c47aadf99cd8
