idpedido;itemprecovenda;pedidohorario;calendarkey;itemkey;filialkey;clientekey
802;49;12:57:39;3f1c6965-99ca-4bd8-991f-947f404cbfdf;969d6e52-71f1-4452-bdd1-f5677e55c27e;c448e859-eb7b-4c13-ae92-a326acfd07ff;55181330-f55e-4b11-a04d-a4d089a31221
84;28;13:42:22;6ed31d31-1720-47ee-8597-a13676fcc991;61f7f090-1d4e-405c-9e63-bc6ef132ea16;a46e2e76-09a6-4433-8a03-e824e25f5755;40a725af-3530-49d3-8c9e-2f11125b8bbd
600;55;11:15:18;14c797de-3364-4dca-8363-84e980614c49;0578c29d-d6b6-4f31-9c20-1378d9b30a52;89011e23-2de3-4ea3-a485-09f6724b014a;22f80ed8-d6e8-4e63-a309-f4d98201b73c
771;78;12:35:03;942792ca-731e-4873-8d58-bbb1abd37c23;bcdc7ee3-014f-40c0-9af8-9c2f85f59c85;8de4052a-fd4f-4256-ad2f-bcc9439479e0;a12a4327-ff9e-4479-a14c-fcb4a551008e
1123;28;12:04:38;fd8e20e1-5c80-4ee4-9f4b-962b637f27ad;1b94c4b0-f039-460c-9153-aed6a823ea80;8de4052a-fd4f-4256-ad2f-bcc9439479e0;6f034db8-5df4-4700-b412-4417cb896be4
100;72;14:11:08;fd8e20e1-5c80-4ee4-9f4b-962b637f27ad;13301677-baf2-48f3-ba5a-faa08cac8d79;c448e859-eb7b-4c13-ae92-a326acfd07ff;1a76e75b-1606-4874-9f1c-49054d4092c8
546;72;11:52:10;283ff94f-3b92-4e64-9197-fc15b54035d9;13301677-baf2-48f3-ba5a-faa08cac8d79;89011e23-2de3-4ea3-a485-09f6724b014a;c05cc343-e5ba-4dbd-9032-a2e20b75e4b5
189;44;14:41:56;e5a3fad0-cdf8-46d5-b2da-b3de9f8d8547;9db54f23-6cc9-4125-9f42-08aa7d241f2f;8de4052a-fd4f-4256-ad2f-bcc9439479e0;87cbc9d2-01e0-4823-bbdc-28862be91344
1174;67;12:46:52;30644455-475a-4661-9b42-34a1f0960c75;5f03bcaf-fa23-45c7-8186-b82d016393c5;31cda249-c0b3-42fb-9a8e-83147c6e1191;5c570eca-7def-45bd-8b44-61aada88bb22
530;74;11:10:06;9964e95b-7e5b-46b2-80b3-5d6998eeefd1;07ed57e8-e1ae-4775-b4ef-a5404ca82895;89011e23-2de3-4ea3-a485-09f6724b014a;0b07230e-a554-4c25-a2ac-a0506810ca6a
1020;58;14:39:03;451b382e-75b8-49f9-ab27-b8ed8401f270;4135fd6f-ac52-4e90-a0ad-cc18cfd6152e;89011e23-2de3-4ea3-a485-09f6724b014a;4a038d4d-688b-47e2-a95e-8436a4f93f6e
466;55;11:38:31;6edc15a6-a730-4481-bd3d-8df91f056477;b7361d92-48f8-40fb-86bc-d8354bd8472e;8de4052a-fd4f-4256-ad2f-bcc9439479e0;cdd3becd-304a-4b9f-ab67-f0dccbc63142
1093;55;11:50:51;c2658770-cec4-4816-8361-5f48f815383d;b7361d92-48f8-40fb-86bc-d8354bd8472e;31cda249-c0b3-42fb-9a8e-83147c6e1191;2488789d-f44c-4070-a08b-8a0d3a82f0e8
671;54;15:22:18;eaaad1a3-97a5-42b0-967b-349bc2544298;c66845d0-c884-4d37-9e83-73f14cbb7735;c448e859-eb7b-4c13-ae92-a326acfd07ff;23d67c33-ba9f-4331-9244-83ecb8c20e33
409;77;15:06:41;5893ce15-c018-4a1c-8b44-e31e5900e638;f0ddf164-437f-471d-8fbf-033a39245dde;89011e23-2de3-4ea3-a485-09f6724b014a;64bc7b21-4e33-4137-a391-bf2d32f05b09
791;28;13:27:14;1a823f4f-243a-4103-a792-1b8ce83f61ff;61f7f090-1d4e-405c-9e63-bc6ef132ea16;8de4052a-fd4f-4256-ad2f-bcc9439479e0;0636052e-2dd3-4d9e-878f-68bd6630c7ac
1082;79;12:08:19;26822ba2-5552-4711-9188-ce28d3948b3b;d5643700-51a3-42c8-be71-ac334ee2cf36;c448e859-eb7b-4c13-ae92-a326acfd07ff;0cae9273-f556-4191-bc33-1c3580c3eee1
1187;28;11:50:37;3b176140-7cf4-467d-a28e-83c57ec02576;1b94c4b0-f039-460c-9153-aed6a823ea80;a46e2e76-09a6-4433-8a03-e824e25f5755;ac593237-c2ef-47a9-b221-042da6702db6
1197;44;11:16:19;a489bd9a-e5f6-437b-89fc-3cd70a822012;9db54f23-6cc9-4125-9f42-08aa7d241f2f;a46e2e76-09a6-4433-8a03-e824e25f5755;511e284a-0f7c-4e3e-9f82-e6dc7526c0f3
650;33;13:26:51;8303b1dc-f82e-40ec-b1b2-37e9815fb6f3;485eeab3-df6f-49d7-a25c-1b50d999f2d2;89011e23-2de3-4ea3-a485-09f6724b014a;852d8d25-365a-4dbc-890e-3e1817fe4200
791;28;13:27:14;50d4c4b1-a1b3-4a12-9a51-aa52650e4ad8;61f7f090-1d4e-405c-9e63-bc6ef132ea16;8de4052a-fd4f-4256-ad2f-bcc9439479e0;0636052e-2dd3-4d9e-878f-68bd6630c7ac
687;28;11:45:02;088b516e-0d1d-4c81-80a1-4fded9668313;61f7f090-1d4e-405c-9e63-bc6ef132ea16;c448e859-eb7b-4c13-ae92-a326acfd07ff;0c30847f-c0a1-4219-9a16-f2d23df267f1
668;37;12:42:48;4b1329ff-708a-4cac-b0d8-57a680281dc5;77b39d45-0acd-49ab-b1f2-f9cf4ee353a4;a46e2e76-09a6-4433-8a03-e824e25f5755;04760430-857c-45ac-ae4c-d44af5082c49
65;78;11:40:18;0e1dd0a3-37a7-4741-bdc6-a7eb0bf2f8b0;0f68f3c4-7373-44ad-b802-a1a4fdc4be17;8de4052a-fd4f-4256-ad2f-bcc9439479e0;abdf5479-31c7-46f9-9e48-384bbc32a431
215;78;14:35:37;4faca43f-dab1-4625-bd85-b45a114adec8;bcdc7ee3-014f-40c0-9af8-9c2f85f59c85;a46e2e76-09a6-4433-8a03-e824e25f5755;b0829a23-4546-46c4-9a71-9dd359582b4e
182;27;13:11:26;82ec7eef-dd98-4a8b-a5d1-36e74b8c286c;17c731c9-7390-4535-b2c1-4bf2a8fc081d;8de4052a-fd4f-4256-ad2f-bcc9439479e0;e92d46ba-94ce-4723-b4ec-6c963d53bcf2
853;67;11:53:33;5d548718-2a3b-458d-87df-f7fab783ae5a;c8e50327-688e-4d8b-aa9d-8626bd952545;c448e859-eb7b-4c13-ae92-a326acfd07ff;9be6e762-09b3-4efe-aa04-52aca1a23b98
188;37;13:27:13;512a8538-6845-4630-9e72-1210575891ee;77b39d45-0acd-49ab-b1f2-f9cf4ee353a4;c448e859-eb7b-4c13-ae92-a326acfd07ff;29165b2e-70c7-47a0-b1db-2ab7def2e404
432;44;12:11:19;1db5b584-550c-4428-a585-ca3fc03af1e5;9db54f23-6cc9-4125-9f42-08aa7d241f2f;8de4052a-fd4f-4256-ad2f-bcc9439479e0;4ef34642-01e8-4b5b-8d5c-dc3a0848e8ac
722;54;13:55:27;f63e0c19-1125-453c-9836-bc543b65d696;1888608b-d71a-4219-8257-6fde1561d49c;31cda249-c0b3-42fb-9a8e-83147c6e1191;3a4088b1-49e3-41ee-8123-d2bd4592d995
642;44;11:06:09;15f3e85b-b582-435a-b8f1-a662b53dc11f;9db54f23-6cc9-4125-9f42-08aa7d241f2f;31cda249-c0b3-42fb-9a8e-83147c6e1191;c9f3edd6-74e9-45ca-bbcf-ca8e9be1f74c
500;61;14:57:59;869ed717-fcea-4055-a465-2084bec2b7e8;c6ff6e19-dba7-4c09-ae9c-26905f602b0b;c448e859-eb7b-4c13-ae92-a326acfd07ff;a9e4999c-e5f2-4f5a-b1f1-c58fc2d1db5a
